symbol,date,open,high,low,close,volume,change,changePercent,vwap
JPM,2025-08-11,289.4,291.32,288.78,289.56,5510113,0.16,0.0552868,289.765
JPM,2025-08-12,291.5,294.75,290.34,292.85,8572034,1.35,0.46312,292.36
JPM,2025-08-13,293.95,294.55,287.16,290.53,8420407,-3.42,-1.16,291.5475
JPM,2025-08-14,290.58,294.2,289.64,294.16,6322400,3.58,1.23,292.145
JPM,2025-08-15,294.84,295.5,289.82,290.49,7340518,-4.35,-1.48,292.6625
JPM,2025-08-18,290.0,291.9,288.41,291.53,5386900,1.53,0.52759,290.46
JPM,2025-08-19,290.83,292.48,289.53,290.66,6031520,-0.17,-0.05845339,290.875
JPM,2025-08-20,290.81,293.33,287.27,292.24,7374244,1.43,0.49173,290.9125
JPM,2025-08-21,291.94,292.77,289.47,291.47,6624161,-0.47,-0.16099,291.4125
JPM,2025-08-22,293.2,297.16,290.13,296.24,8552847,3.04,1.04,294.1825
JPM,2025-08-25,296.24,297.35,294.14,294.9,5856300,-1.34,-0.45234,295.6575
JPM,2025-08-26,294.16,298.74,293.5,298.57,6714749,4.41,1.5,296.2425
JPM,2025-08-27,297.25,301.07,297.04,299.28,6056513,2.03,0.68293,298.66
JPM,2025-08-28,300.02,301.24,298.7,301.07,6410535,1.05,0.34998,300.2575
JPM,2025-08-29,302.04,302.95,299.73,301.42,6796400,-0.62,-0.20527,301.535
JPM,2025-09-02,300.26,300.46,294.5,299.7,7221900,-0.56,-0.18651,298.73
JPM,2025-09-03,300.57,300.57,296.38,299.51,6316911,-1.06,-0.35266,299.2575
JPM,2025-09-04,300.0,304.43,298.28,303.82,6605800,3.82,1.27,301.6325
JPM,2025-09-05,303.65,305.15,294.31,294.38,9837709,-9.27,-3.05,299.3725
JPM,2025-09-08,294.89,296.46,291.44,292.91,8188506,-1.98,-0.67144,293.925
JPM,2025-09-09,292.6,299.0,292.31,297.85,7848200,5.25,1.79,295.44
JPM,2025-09-10,296.7,301.54,295.4,300.54,7787303,3.84,1.29,298.545
JPM,2025-09-11,301.24,305.73,300.79,305.56,7942500,4.32,1.43,303.33
JPM,2025-09-12,305.0,307.55,303.7,306.91,6846700,1.91,0.62623,305.79
